depth	min	max	median	mean
1.5	4433	4709	4563	4563
2.5	4449	4717	4576	4577
3.5	4461	4726	4589	4591
4.5	4474	4737	4603	4605
5.5	4485	4756	4616	4619
6.5	4501	4768	4632	4633
7.5	4522	4772	4647	4647
8.5	4538	4777	4664	4661
9.5	4550	4782	4685	4675
10.5	4558	4789	4701	4689
11.5	4573	4796	4718	4703
12.5	4593	4800	4737	4718
13.5	4608	4805	4756	4732
14.5	4620	4811	4771	4747
15.5	4632	4826	4783	4761
16.5	4658	4842	4797	4779
17.5	4703	4859	4812	4799
18.5	4746	4886	4825	4820
19.5	4782	4917	4837	4840
20.5	4811	4954	4851	4861
21.5	4848	4988	4882	4894
22.5	4878	5028	4933	4940
23.5	4897	5084	4984	4985
24.5	4913	5150	5032	5031
25.5	4929	5223	5079	5077
26.5	4977	5267	5126	5124
27.5	5052	5283	5173	5172
28.5	5120	5307	5223	5221
29.5	5176	5354	5270	5269
30.5	5220	5417	5310	5318
31.5	5265	5461	5343	5356
32.5	5314	5474	5374	5384
33.5	5350	5495	5407	5412
34.5	5371	5523	5438	5440
35.5	5387	5554	5467	5468
36.5	5412	5582	5492	5493
37.5	5446	5592	5515	5516
38.5	5471	5604	5540	5539
39.5	5485	5625	5564	5562
40.5	5498	5653	5588	5584
41.5	5516	5676	5608	5606
42.5	5546	5692	5626	5625
43.5	5565	5721	5645	5645
44.5	5582	5762	5663	5664
45.5	5597	5809	5683	5684
46.5	5626	5841	5707	5708
47.5	5665	5851	5736	5736
48.5	5689	5862	5765	5765
49.5	5708	5876	5793	5793
50.5	5723	5905	5821	5821
51.5	5747	5932	5849	5848
52.5	5768	5943	5878	5873
53.5	5786	5958	5908	5898
54.5	5803	5986	5934	5923
55.5	5817	6027	5956	5948
56.5	5850	6058	5976	5972
57.5	5895	6075	5998	5995
58.5	5939	6099	6017	6018
59.5	5965	6130	6036	6041
60.5	5982	6165	6058	6063
61.5	5998	6189	6078	6084
62.5	6016	6198	6099	6102
63.5	6031	6209	6120	6121
64.5	6043	6227	6140	6139
65.5	6053	6248	6159	6157
66.5	6076	6267	6179	6177
67.5	6111	6275	6199	6199
68.5	6142	6287	6222	6220
69.5	6167	6301	6246	6241
70.5	6185	6320	6271	6263
71.5	6212	6336	6292	6283
72.5	6240	6349	6310	6303
73.5	6260	6367	6326	6324
74.5	6277	6389	6346	6344
75.5	6296	6416	6365	6364
76.5	6313	6437	6382	6381
77.5	6329	6451	6397	6394
78.5	6340	6471	6413	6408
79.5	6348	6495	6426	6422
80.5	6355	6521	6438	6436
81.5	6366	6542	6451	6450
82.5	6378	6560	6466	6466
83.5	6387	6583	6480	6482
84.5	6394	6612	6495	6497
85.5	6400	6642	6508	6513
86.5	6411	6667	6524	6529
87.5	6426	6681	6541	6545
88.5	6439	6698	6558	6562
89.5	6450	6725	6574	6578
90.5	6460	6745	6591	6594
91.5	6475	6765	6607	6611
92.5	6492	6778	6623	6626
93.5	6506	6789	6640	6642
94.5	6521	6806	6657	6658
95.5	6536	6829	6675	6674
96.5	6554	6843	6690	6690
97.5	6579	6851	6704	6706
98.5	6597	6864	6718	6722
99.5	6609	6879	6733	6737
